Season,TeamName,ConferenceName,ConfAbbrev
1985,Air Force,Western Athletic Conference,wac
1985,Akron,Ohio Valley Conference,ovc
1985,Alabama,Southeastern Conference,sec
1985,Alabama St,Southwest Athletic Conference,swac
1985,Alcorn St,Southwest Athletic Conference,swac
1985,Alliant Intl,Independent,ind
1985,American Univ,Eastern Collegiate Athletic Conference South,ecacs
1985,Appalachian St,Southern Conference,southern
1985,Arizona,Pacific-10 Conference,pac_ten
1985,Arizona St,Pacific-10 Conference,pac_ten
1985,Ark Little Rock,Atlantic Sun Conference,a_sun
1985,Arkansas,Southwest Conference,swc
1985,Arkansas St,Southland Conference,southland
1985,Army,Metro Atlantic Athletic Conference,maac
1985,Auburn,Southeastern Conference,sec
1985,Augusta,Independent,ind
1985,Austin Peay,Ohio Valley Conference,ovc
1985,Ball St,Mid-American Conference,mac
1985,Baylor,Southwest Conference,swc
1985,Bethune-Cookman,Mid-Eastern Athletic Conference,meac
1985,Boise St,Big Sky Conference,big_sky
1985,Boston College,Big East Conference,big_east
1985,Boston Univ,Eastern Collegiate Athletic Conference North,ecacn
1985,Bowling Green,Mid-American Conference,mac
1985,Bradley,Missouri Valley Conference,mvc
1985,Brooklyn,Independent,ind
1985,Brown,Ivy League,ivy
1985,Bucknell,East Coast Conference,ecc
1985,Butler,Midwestern City Conference,mw_city
1985,BYU,Western Athletic Conference,wac
1985,C Michigan,Mid-American Conference,mac
1985,California,Pacific-10 Conference,pac_ten
1985,Campbell,Independent,ind
1985,Canisius,Eastern Collegiate Athletic Conference North,ecacn
1985,Centenary,Atlantic Sun Conference,a_sun
1985,Charleston So,Independent,ind
1985,Charlotte,Sun Belt Conference,sun_belt
1985,Chattanooga,Southern Conference,southern
1985,Chicago St,Independent,ind
1985,Cincinnati,Metropolitan Collegiate Athletic Conference,metro
1985,Citadel,Southern Conference,southern
1985,Clemson,Atlantic Coast Conference,acc
1985,Cleveland St,Mid-Continent Conference,mid_cont
1985,Colgate,Eastern Collegiate Athletic Conference North,ecacn
1985,Colorado,Big Eight Conference,big_eight
1985,Colorado St,Western Athletic Conference,wac
1985,Columbia,Ivy League,ivy
1985,Connecticut,Big East Conference,big_east
1985,Cornell,Ivy League,ivy
1985,Creighton,Missouri Valley Conference,mvc
1985,CS Fullerton,Pacific Coast Athletic Association,pcaa
1985,Dartmouth,Ivy League,ivy
1985,Davidson,Southern Conference,southern
1985,Dayton,Independent,ind
1985,Delaware,East Coast Conference,ecc
1985,Delaware St,Mid-Eastern Athletic Conference,meac
1985,DePaul,Independent,ind
1985,Detroit,Midwestern City Conference,mw_city
1985,Drake,Missouri Valley Conference,mvc
1985,Drexel,East Coast Conference,ecc
1985,Duke,Atlantic Coast Conference,acc
1985,Duquesne,Atlantic 10 Conference,a_ten
