Season,TeamName,ConfAbbrev,RegionW,RegionX
1985,Air Force,wac,East,West
1985,Akron,ovc,East,West
1985,Alabama,sec,East,West
1985,Alabama St,swac,East,West
1985,Alcorn St,swac,East,West
1985,Alliant Intl,ind,East,West
1985,American Univ,ecacs,East,West
1985,Appalachian St,southern,East,West
1985,Arizona,pac_ten,East,West
1985,Arizona St,pac_ten,East,West
1985,Ark Little Rock,a_sun,East,West
1985,Arkansas,swc,East,West
1985,Arkansas St,southland,East,West
1985,Army,maac,East,West
1985,Auburn,sec,East,West
1985,Augusta,ind,East,West
1985,Austin Peay,ovc,East,West
1985,Ball St,mac,East,West
1985,Baylor,swc,East,West
1985,Bethune-Cookman,meac,East,West
1985,Boise St,big_sky,East,West
1985,Boston College,big_east,East,West
1985,Boston Univ,ecacn,East,West
1985,Bowling Green,mac,East,West
1985,Bradley,mvc,East,West
1985,Brooklyn,ind,East,West
1985,Brown,ivy,East,West
1985,Bucknell,ecc,East,West
1985,Butler,mw_city,East,West
1985,BYU,wac,East,West
1985,C Michigan,mac,East,West
1985,California,pac_ten,East,West
1985,Campbell,ind,East,West
1985,Canisius,ecacn,East,West
1985,Centenary,a_sun,East,West
1985,Charleston So,ind,East,West
1985,Charlotte,sun_belt,East,West
1985,Chattanooga,southern,East,West
1985,Chicago St,ind,East,West
1985,Cincinnati,metro,East,West
1985,Citadel,southern,East,West
1985,Clemson,acc,East,West
1985,Cleveland St,mid_cont,East,West
1985,Colgate,ecacn,East,West
1985,Colorado,big_eight,East,West
1985,Colorado St,wac,East,West
1985,Columbia,ivy,East,West
1985,Connecticut,big_east,East,West
1985,Cornell,ivy,East,West
1985,Creighton,mvc,East,West
1985,CS Fullerton,pcaa,East,West
1985,Dartmouth,ivy,East,West
1985,Davidson,southern,East,West
1985,Dayton,ind,East,West
1985,Delaware,ecc,East,West
1985,Delaware St,meac,East,West
1985,DePaul,ind,East,West
1985,Detroit,mw_city,East,West
1985,Drake,mvc,East,West
1985,Drexel,ecc,East,West
1985,Duke,acc,East,West
1985,Duquesne,a_ten,East,West
1985,E Illinois,mid_cont,East,West
1985,E Kentucky,ovc,East,West
1985,E Michigan,mac,East,West
1985,E Washington,ind,East,West
1985,East Carolina,ecacs,East,West
1985,ETSU,southern,East,West
1985,Evansville,mw_city,East,West
1985,F Dickinson,ecacm,East,West
1985,Fairfield,maac,East,West
1985,Florida,sec,East,West
1985,Florida A&M,ind,East,West
1985,Florida St,metro,East,West
1985,Fordham,maac,East,West
1985,Fresno St,pcaa,East,West
1985,Furman,southern,East,West
1985,G Washington,a_ten,East,West
1985,Ga Southern,a_sun,East,West
1985,George Mason,ecacs,East,West
1985,Georgetown,big_east,East,West
1985,Georgia,sec,East,West
1985,Georgia St,a_sun,East,West
1985,Georgia Tech,acc,East,West
1985,Gonzaga,wcc,East,West
1985,Grambling,swac,East,West
1985,Hardin-Simmons,a_sun,East,West
1985,Hartford,ecacn,East,West
1985,Harvard,ivy,East,West
1985,Hawaii,wac,East,West
1985,Hofstra,ecc,East,West
1985,Holy Cross,maac,East,West
1985,Houston,swc,East,West
1985,Houston Chr,a_sun,East,West
1985,Howard,meac,East,West
1985,Idaho,big_sky,East,West
1985,Idaho St,big_sky,East,West
1985,IL Chicago,mid_cont,East,West
1985,Illinois,big_ten,East,West
1985,Illinois St,mvc,East,West
1985,Indiana,big_ten,East,West
1985,Indiana St,mvc,East,West
1985,Iona,maac,East,West
1985,Iowa,big_ten,East,West
1985,Iowa St,big_eight,East,West
1985,Jackson St,swac,East,West
1985,Jacksonville,sun_belt,East,West
1985,James Madison,ecacs,East,West
1985,Kansas,big_eight,East,West
1985,Kansas St,big_eight,East,West
1985,Kent,mac,East,West
1985,Kentucky,sec,East,West
1985,La Salle,maac,East,West
1985,Lafayette,ecc,East,West
1985,Lamar,southland,East,West
1985,Lehigh,ecc,East,West
1985,Long Beach St,pcaa,East,West
1985,LIU Brooklyn,ecacm,East,West
1985,Louisiana Tech,southland,East,West
1985,Louisville,metro,East,West
1985,Loy Marymount,wcc,East,West
1985,Loyola MD,ecacm,East,West
1985,Loyola-Chicago,mw_city,East,West
1985,LSU,sec,East,West
1985,Maine,ecacn,East,West
1985,Manhattan,maac,East,West
1985,Marist,ecacm,East,West
1985,Marquette,ind,East,West
1985,Marshall,southern,East,West
1985,Maryland,acc,East,West
1985,Massachusetts,a_ten,East,West
1985,McNeese St,southland,East,West
1985,MD E Shore,meac,East,West
1985,Memphis,metro,East,West
1985,Mercer,a_sun,East,West
1985,Miami OH,mac,East,West
1985,Michigan,big_ten,East,West
1985,Michigan St,big_ten,East,West
1985,Minnesota,big_ten,East,West
1985,Mississippi,sec,East,West
1985,Mississippi St,sec,East,West
1985,Missouri,big_eight,East,West
1985,Missouri St,mid_cont,East,West
1985,Monmouth NJ,ind,East,West
1985,Montana,big_sky,East,West
1985,Montana St,big_sky,East,West
1985,Morehead St,ovc,East,West
1985,Morgan St,meac,East,West
1985,MS Valley St,swac,East,West
1985,MTSU,ovc,East,West
1985,Murray St,ovc,East,West
1985,N Illinois,mac,East,West
1985,Navy,ecacs,East,West
1985,NC A&T,meac,East,West
1985,NC State,acc,East,West
1985,Nebraska,big_eight,East,West
1985,Nevada,big_sky,East,West
1985,New Hampshire,ecacn,East,West
1985,New Mexico,wac,East,West
1985,New Mexico St,pcaa,East,West
1985,New Orleans,ind,East,West
1985,Niagara,ecacn,East,West
1985,Nicholls St,gsc,East,West
1985,North Carolina,acc,East,West
1985,North Texas,southland,East,West
1985,Northeastern,ecacn,East,West
1985,Northern Arizona,big_sky,East,West
1985,Northern Iowa,mid_cont,East,West
1985,Northwestern,big_ten,East,West
1985,Northwestern LA,gsc,East,West
1985,Notre Dame,ind,East,West
1985,Ohio,mac,East,West
1985,Ohio St,big_ten,East,West
1985,Okla City,mw_city,East,West
1985,Oklahoma,big_eight,East,West
1985,Oklahoma St,big_eight,East,West
1985,Old Dominion,sun_belt,East,West
1985,Oral Roberts,mw_city,East,West
1985,Oregon,pac_ten,East,West
1985,Oregon St,pac_ten,East,West
1985,Pacific,pcaa,East,West
1985,Penn,ivy,East,West
1985,Penn St,a_ten,East,West
1985,Pepperdine,wcc,East,West
1985,Pittsburgh,big_east,East,West
1985,Portland,wcc,East,West
1985,Prairie View,swac,East,West
1985,Princeton,ivy,East,West
1985,Providence,big_east,East,West
1985,Purdue,big_ten,East,West
1985,Radford,ind,East,West
1985,Rhode Island,a_ten,East,West
1985,Rice,swc,East,West
1985,Richmond,ecacs,East,West
1985,Rider,ecc,East,West
1985,Robert Morris,ecacm,East,West
1985,Rutgers,a_ten,East,West
1985,S Carolina St,meac,East,West
1985,S Illinois,mvc,East,West
1985,Samford,a_sun,East,West
1985,San Diego,wcc,East,West
1985,San Diego St,wac,East,West
1985,San Jose St,pcaa,East,West
1985,UC Santa Barbara,pcaa,East,West
1985,Santa Clara,wcc,East,West
1985,SE Louisiana,gsc,East,West
1985,Seton Hall,big_east,East,West
1985,Siena,ecacn,East,West
1985,SMU,swc,East,West
1985,South Alabama,sun_belt,East,West
1985,South Carolina,metro,East,West
1985,South Florida,sun_belt,East,West
1985,Southern Miss,metro,East,West
1985,Southern Univ,swac,East,West
1985,St Bonaventure,a_ten,East,West
1985,St Francis NY,ecacm,East,West
1985,St Francis PA,ecacm,East,West
1985,St John's,big_east,East,West
1985,St Joseph's PA,a_ten,East,West
1985,St Louis,mw_city,East,West
1985,St Mary's CA,wcc,East,West
1985,St Peter's,maac,East,West
1985,Stanford,pac_ten,East,West
1985,Stetson,ind,East,West
1985,Syracuse,big_east,East,West
1985,TCU,swc,East,West
1985,Temple,a_ten,East,West
1985,Tennessee,sec,East,West
1985,Tennessee St,ind,East,West
1985,Tennessee Tech,ovc,East,West
1985,Texas,swc,East,West
1985,Texas A&M,swc,East,West
1985,Texas St,gsc,East,West
1985,Texas Tech,swc,East,West
1985,Toledo,mac,East,West
1985,Towson,ecc,East,West
1985,Tulane,metro,East,West
1985,Tulsa,mvc,East,West
1985,UTRGV,ind,East,West
1985,TX Southern,swac,East,West
1985,UAB,sun_belt,East,West
1985,UC Irvine,pcaa,East,West
1985,UCF,ind,East,West
1985,UCLA,pac_ten,East,West
1985,Louisiana,ind,East,West
1985,ULM,southland,East,West
1985,UNC Wilmington,ecacs,East,West
1985,UNLV,pcaa,East,West
