Season,DayNum,WTeamID,LTeamID,City,State
2010,11,3103,3237,Akron,OH
2010,11,3104,3399,Corpus Christi,TX
2010,11,3110,3224,Washington,DC
2010,11,3111,3267,Huntington,WV
2010,11,3119,3447,West Point,NY
2010,11,3120,3407,Auburn,AL
2010,11,3125,3146,Nashville,TN
2010,11,3132,3152,Bowling Green,OH
2010,11,3138,3310,Niagara Falls,NY
2010,11,3140,3430,Provo,UT
2010,11,3144,3459,Buies Creek,NC
2010,11,3155,3202,Clemson,SC
2010,11,3156,3325,Cleveland,OH
2010,11,3161,3285,Fort Collins,CO
2010,11,3162,3357,New York,NY
2010,11,3166,3117,Omaha,NE
2010,11,3168,3363,San Jose,CA
2010,11,3173,3277,Dayton,OH
2010,11,3177,3141,Chicago,IL
2010,11,3178,3324,Rochester,MI
2010,11,3181,3223,Houston,TX
2010,11,3182,3165,Ithaca,NY
2010,11,3185,3227,Chicago,IL
2010,11,3187,3150,Greenville,NC
2010,11,3188,3287,Edwardsville,IL
2010,11,3189,3464,Elon,NC
2010,11,3190,3151,Johnson City,TN
2010,11,3195,3431,Fort Myers,FL
2010,11,3197,3378,Tampa,FL
2010,11,3199,3316,Tallahassee,FL
2010,11,3200,3107,Bronx,NY
2010,11,3201,3364,Santa Barbara,CA
2010,11,3206,3313,Fairfax,VA
2010,11,3210,3457,Atlanta,GA
2010,11,3222,3205,Boiling Springs,NC
2010,11,3231,3272,Memphis,TN
2010,11,3245,3352,Moon Township,PA
2010,11,3246,3131,Lexington,KY
2010,11,3250,3252,Nashville,TN
2010,11,3253,3341,Long Beach,CA
2010,11,3256,3147,Ruston,LA
2010,11,3259,3247,Philadelphia,PA
2010,11,3263,3148,Orono,ME
2010,11,3264,3383,Riverdale,NY
2010,11,3265,3299,Poughkeepsie,NY
2010,11,3274,3415,Riverside,CA
2010,11,3276,3123,Ann Arbor,MI
2010,11,3279,3368,Oxford,MS
2010,11,3280,3115,Starkville,MS
2010,11,3282,3179,Kansas City,MO
2010,11,3286,3167,Bakersfield,CA
2010,11,3293,3105,Normal,AL
2010,11,3295,3320,Cedar Falls,IA
2010,11,3296,3133,DeKalb,IL
2010,11,3298,3219,Elon,NC
2010,11,3301,3198,Raleigh,NC
2010,11,3304,3172,Lincoln,NE
2010,11,3306,3386,Durham,NH
2010,11,3307,3294,Albuquerque,NM
2010,11,3308,3169,Northridge,CA
2010,11,3314,3158,Chapel Hill,NC
2010,11,3321,3405,Toledo,OH
2010,11,3326,3183,Columbus,OH
2010,11,3328,3273,Norman,OK
2010,11,3329,3114,Stillwater,OK
2010,11,3331,3410,Tulsa,OK
2010,11,3333,3142,Corvallis,OR
2010,11,3336,3180,Philadelphia,PA
2010,11,3337,3319,Malibu,CA
2010,11,3343,3392,Stony Brook,NY
2010,11,3344,3135,Providence,RI
2010,11,3350,3441,Richmond,VA
2010,11,3355,3211,Brookings,SD
2010,11,3359,3240,Birmingham,AL
2010,11,3361,3414,Irvine,CA
2010,11,3371,3351,Lawrenceville,NJ
2010,11,3374,3258,Dallas,TX
2010,11,3382,3127,Vestal,NY
2010,11,3387,3356,St. Louis,MO
2010,11,3388,3226,Moraga,CA
2010,11,3389,3248,Easton,PA
2010,11,3390,3330,Norfolk,VA
2010,11,3393,3192,Syracuse,NY
2010,11,3394,3102,Corpus Christi,TX
2010,11,3396,3228,Philadelphia,PA
2010,11,3400,3427,Austin,TX
2010,11,3408,3419,New Orleans,LA
2010,11,3412,3108,Birmingham,AL
2010,11,3413,3370,Seattle,WA
2010,11,3424,3381,Cedar City,UT
2010,11,3426,3349,Arlington,TX
2010,11,3429,3428,Logan,UT
2010,11,3436,3444,Raleigh,NC
2010,11,3438,3420,Baltimore,MD
2010,11,3439,3255,Blacksburg,VA
2010,11,3448,3239,Winston-Salem,NC
2010,11,3452,3406,Morgantown,WV
2010,11,3453,3315,Grand Forks,ND
2010,11,3454,3191,Evansville,IN
2010,11,3461,3176,Denver,CO
2010,11,3462,3425,Los Angeles,CA
2010,11,3463,3221,New Haven,CT
2010,12,3112,3233,New Rochelle,NY
2010,12,3159,3342,Hamilton,NY
2010,12,3163,3318,Storrs,CT
2010,12,3171,3136,Hanover,NH
2010,12,3186,3339,Portland,OR
2010,12,3193,3348,Kingston,RI
2010,12,3196,3391,Gainesville,FL
2010,12,3198,3444,Raleigh,NC
2010,12,3207,3283,Springfield,MO
2010,12,3209,3244,Kennesaw,GA
2010,12,3216,3346,West Hartford,CT
2010,12,3217,3130,Cambridge,MA
2010,12,3219,3464,Elon,NC
2010,12,3229,3417,Iowa City,IA
2010,12,3232,3243,Manhattan,KS
2010,12,3234,3365,Iowa City,IA
2010,12,3236,3460,Fort Wayne,IN
2010,12,3238,3398,Jackson,MS
2010,12,3266,3384,Milwaukee,WI
2010,12,3268,3300,College Park,MD
2010,12,3275,3137,New Rochelle,NY
2010,12,3291,3145,Emmitsburg,MD
2010,12,3298,3189,Elon,NC
2010,12,3309,3270,Lake Charles,LA
2010,12,3340,3449,Portland,OR
2010,12,3372,3317,Nacogdoches,TX
2010,12,3379,3375,Hattiesburg,MS
2010,12,3394,3104,Corpus Christi,TX
2010,12,3399,3102,Corpus Christi,TX
2010,12,3403,3358,Lubbock,TX
2010,12,3418,3411,Lafayette,LA
2010,12,3422,3288,Greensboro,NC
2010,12,3436,3301,Raleigh,NC
2010,12,3443,3184,Bowling Green,KY
2010,13,3112,3275,New Rochelle,NY
2010,13,3113,3355,Tempe,AZ
2010,13,3116,3108,Hot Springs,AR
2010,13,3129,3451,Boise,ID
2010,13,3133,3227,East Peoria,IL
2010,13,3142,3308,San Luis Obispo,CA
2010,13,3143,3226,Berkeley,CA
2010,13,3151,3122,Clarksville,TN
2010,13,3153,3202,Cincinnati,OH
2010,13,3160,3414,Boulder,CO
2010,13,3161,3455,Fort Collins,CO
2010,13,3166,3172,Omaha,NE
2010,13,3168,3170,Sacramento,CA
2010,13,3177,3295,Chicago,IL
2010,13,3180,3335,Philadelphia,PA
2010,13,3182,3310,Niagara Falls,NY
2010,13,3187,3441,Greenville,NC
2010,13,3208,3328,Athens,GA
2010,13,3228,3373,Champaign,IL
2010,13,3231,3237,Bloomington,IN
2010,13,3233,3137,New Rochelle,NY
2010,13,3234,3229,Iowa City,IA
2010,13,3235,3194,Ames,IA
2010,13,3242,3331,Lawrence,KS
2010,13,3246,3139,Lexington,KY
2010,13,3252,3146,Nashville,TN
2010,13,3259,3119,Baltimore,MD
2010,13,3261,3147,Baton Rouge,LA
2010,13,3269,3131,Amherst,MA
2010,13,3274,3167,Bakersfield,CA
2010,13,3277,3178,Detroit,MI
2010,13,3278,3249,Minneapolis,MN
2010,13,3280,3190,Starkville,MS
2010,13,3281,3320,Conway,AR
2010,13,3286,3334,Stockton,CA
2010,13,3292,3416,Murfreesboro,TN
2010,13,3293,3272,Memphis,TN
2010,13,3304,3424,Las Vegas,NV
2010,13,3307,3195,Albuquerque,NM
2010,13,3323,3115,Notre Dame,IN
2010,13,3324,3162,New York,NY
2010,13,3326,3132,Columbus,OH
2010,13,3329,3210,Stillwater,OK
2010,13,3336,3312,University Park,PA
2010,13,3341,3169,Northridge,CA
2010,13,3344,3386,Providence,RI
2010,13,3345,3442,West Lafayette,IN
2010,13,3354,3366,Orangeburg,SC
2010,13,3359,3191,Evansville,IN
2010,13,3382,3103,St. Bonaventure,NY
2010,13,3385,3392,Stony Brook,NY
2010,13,3390,3353,Piscataway,NJ
2010,13,3395,3223,Fort Worth,TX
2010,13,3397,3124,Knoxville,TN
2010,13,3401,3181,College Station,TX
2010,13,3405,3156,Toledo,OH
2010,13,3415,3319,Riverside,CA
2010,13,3417,3365,Iowa City,IA
2010,13,3420,3271,Baltimore,MD
2010,13,3423,3459,Wilmington,NC
2010,13,3425,3201,Los Angeles,CA
2010,13,3435,3250,Nashville,TN
2010,13,3438,3264,Charlottesville,VA
2010,13,3450,3413,Pullman,WA
2010,13,3454,3188,Edwardsville,IL
2010,13,3456,3347,Williamsburg,VA
2010,13,3458,3315,Madison,WI
2010,13,3461,3285,Laramie,WY
2010,14,3117,3243,Manhattan,KS
2010,14,3157,3144,Buies Creek,NC
2010,14,3158,3155,Charleston,SC
2010,14,3159,3351,Hamilton,NY
2010,14,3192,3224,Hackensack,NJ
2010,14,3211,3225,Moscow,ID
2010,14,3220,3138,Hempstead,NY
2010,14,3221,3148,New Britain,CT
2010,14,3248,3284,Tulsa,OK
2010,14,3258,3253,Long Beach,CA
2010,14,3268,3306,College Park,MD
2010,14,3276,3266,Ann Arbor,MI
2010,14,3288,3300,Baltimore,MD
2010,14,3298,3325,Athens,OH
2010,14,3305,3364,Reno,NV
2010,14,3332,3186,Eugene,OR
2010,14,3343,3110,Princeton,NJ
2010,14,3350,3206,Richmond,VA
2010,14,3367,3255,Farmville,VA
2010,14,3369,3379,Cape Girardeau,MO
2010,14,3371,3267,Huntington,WV
2010,14,3376,3150,Charlotte,NC
2010,14,3378,3389,Tampa,FL
2010,14,3393,3342,Syracuse,NY
2010,14,3429,3339,Portland,OR
2010,14,3433,3439,Richmond,VA
2010,14,3437,3357,Fairfield,CT
2010,14,3443,3123,Muncie,IN
2010,14,3452,3265,Morgantown,WV
2010,15,3104,3238,Tuscaloosa,AL
2010,15,3122,3252,Nashville,TN
2010,15,3124,3399,Waco,TX
2010,15,3143,3388,Berkeley,CA
2010,15,3163,3400,San Antonio,TX
2010,15,3174,3384,Loretto,PA
2010,15,3198,3239,Miami,FL
2010,15,3199,3196,Gainesville,FL
2010,15,3203,3317,Denton,TX
2010,15,3212,3147,Shreveport,LA
2010,15,3216,3257,West Hartford,CT
2010,15,3217,3263,Cambridge,MA
2010,15,3218,3415,Riverside,CA
2010,15,3222,3426,Arlington,TX
2010,15,3246,3287,Morehead,KY
2010,15,3251,3422,Lynchburg,VA
2010,15,3279,3358,Huntsville,TX
2010,15,3301,3194,Raleigh,NC
2010,15,3312,3447,Newark,NJ
2010,15,3326,3412,Columbus,OH
2010,15,3334,3381,Stockton,CA
2010,15,3337,3363,San Jose,CA
2010,15,3338,3316,Pittsburgh,PA
2010,15,3361,3360,San Diego,CA
2010,15,3380,3322,Baton Rouge,LA
2010,15,3382,3145,Buffalo,NY
2010,15,3396,3120,Philadelphia,PA
2010,15,3397,3403,San Antonio,TX
2010,15,3407,3240,Jacksonville,AL
2010,15,3409,3282,Tulsa,OK
2010,15,3413,3362,Davis,CA
2010,15,3419,3402,San Marcos,TX
2010,15,3421,3354,Orangeburg,SC
2010,15,3428,3278,Salt Lake City,UT
2010,15,3442,3296,DeKalb,IL
2010,15,3463,3119,New Haven,CT
2010,16,3110,3135,Providence,RI
2010,16,3117,3115,Jonesboro,AR
2010,16,3125,3404,Martin,TN
2010,16,3131,3348,Boston,MA
2010,16,3139,3236,Indianapolis,IN
2010,16,3144,3300,Durham,NC
2010,16,3148,3200,New Britain,CT
2010,16,3159,3106,Hamilton,NY
2010,16,3162,3254,Brooklyn,NY
2010,16,3176,3161,Denver,CO
2010,16,3179,3152,Des Moines,IA
2010,16,3182,3291,Pittsburgh,PA
2010,16,3193,3248,Fairfield,CT
2010,16,3220,3383,Brooklyn,NY
2010,16,3221,3136,Smithfield,RI
2010,16,3228,3141,Champaign,IL
2010,16,3231,3153,Bloomington,IN
2010,16,3241,3207,Harrisonburg,VA
2010,16,3242,3234,Iowa City,IA
2010,16,3245,3464,Youngstown,OH
2010,16,3250,3192,Bethlehem,PA
2010,16,3261,3292,Baton Rouge,LA
2010,16,3272,3281,Conway,AR
2010,16,3274,3126,Coral Gables,FL
2010,16,3280,3430,Starkville,MS
2010,16,3283,3387,Springfield,MO
2010,16,3309,3311,New Orleans,LA
2010,16,3314,3157,Chapel Hill,NC
2010,16,3318,3175,Dover,DE
2010,16,3329,3307,Albuquerque,NM
2010,16,3374,3116,Dallas,TX
2010,16,3385,3269,Amherst,MA
2010,16,3395,3201,Fort Worth,TX
2010,16,3401,3349,College Station,TX
2010,16,3405,3324,Rochester,MI
2010,16,3411,3410,Edinburg,TX
2010,16,3434,3188,Valparaiso,IN
2010,16,3435,3356,Carbondale,IL
2010,16,3437,3335,Villanova,PA
2010,16,3438,3367,Charlottesville,VA
2010,16,3448,3378,Winston-Salem,NC
2010,16,3449,3140,Seattle,WA
2010,16,3459,3313,Spartanburg,SC
2010,16,3461,3315,Grand Forks,ND
2010,17,3107,3312,Newark,NJ
2010,17,3113,3463,New Haven,CT
2010,17,3120,3105,Auburn,AL
2010,17,3129,3340,Boise,ID
2010,17,3155,3376,Clemson,SC
2010,17,3181,3204,Durham,NC
2010,17,3186,3225,Cheney,WA
2010,17,3187,3423,Greenville,NC
2010,17,3197,3366,Savannah,GA
2010,17,3203,3164,Washington,DC
2010,17,3208,3151,Chattanooga,TN
